calories,fat,sodium,fiber,sugars,rating
120,5,15,2,8,'\'(33.175263-48.307675]\''
70,1,260,9,5,'\'(48.307675-63.440088]\''
50,0,140,14,0,'\'(78.5725-inf)\''
110,2,200,1,8,'\'(33.175263-48.307675]\''
110,2,180,1.5,10,'\'(-inf-33.175263]\''
110,0,125,1,14,'\'(-inf-33.175263]\''
130,2,210,2,8,'\'(33.175263-48.307675]\''
90,1,200,4,6,'\'(48.307675-63.440088]\''
90,0,210,5,5,'\'(48.307675-63.440088]\''
120,2,220,0,12,'\'(-inf-33.175263]\''
110,2,290,2,1,'\'(48.307675-63.440088]\''
120,3,210,0,9,'\'(-inf-33.175263]\''
110,2,140,2,7,'\'(33.175263-48.307675]\''
110,1,180,0,13,'\'(-inf-33.175263]\''
110,0,280,0,3,'\'(33.175263-48.307675]\''
100,0,290,1,2,'\'(33.175263-48.307675]\''
110,0,90,1,12,'\'(33.175263-48.307675]\''
110,1,180,0,13,'\'(-inf-33.175263]\''
110,3,140,4,7,'\'(33.175263-48.307675]\''
100,0,80,1,0,'\'(63.440088-78.5725]\''
110,0,220,1,3,'\'(33.175263-48.307675]\''
100,1,140,2,10,'\'(33.175263-48.307675]\''
100,0,190,1,5,'\'(33.175263-48.307675]\''
110,1,125,1,13,'\'(-inf-33.175263]\''
110,0,200,1,11,'\'(-inf-33.175263]\''
100,0,0,3,7,'\'(48.307675-63.440088]\''
120,2,160,5,10,'\'(33.175263-48.307675]\''
120,0,240,5,12,'\'(33.175263-48.307675]\''
110,1,135,0,12,'\'(-inf-33.175263]\''
100,0,45,0,15,'\'(33.175263-48.307675]\''
110,1,280,0,9,'\'(-inf-33.175263]\''
100,1,140,3,5,'\'(48.307675-63.440088]\''
110,0,170,3,3,'\'(48.307675-63.440088]\''
120,3,75,3,4,'\'(33.175263-48.307675]\''
120,2,220,1,11,'\'(-inf-33.175263]\''
110,1,250,1.5,10,'\'(-inf-33.175263]\''
110,0,180,0,11,'\'(-inf-33.175263]\''
110,1,170,1,6,'\'(33.175263-48.307675]\''
140,1,170,2,9,'\'(33.175263-48.307675]\''
110,1,260,0,3,'\'(33.175263-48.307675]\''
100,2,150,2,6,'\'(33.175263-48.307675]\''
110,1,180,0,12,'\'(-inf-33.175263]\''
100,1,0,0,3,'\'(48.307675-63.440088]\''
150,3,95,3,11,'\'(33.175263-48.307675]\''
150,3,150,3,11,'\'(33.175263-48.307675]\''
160,2,150,3,13,'\'(-inf-33.175263]\''
100,1,220,2,6,'\'(33.175263-48.307675]\''
120,1,190,0,9,'\'(-inf-33.175263]\''
140,2,220,3,7,'\'(33.175263-48.307675]\''
90,0,170,3,2,'\'(48.307675-63.440088]\''
130,2,170,1.5,10,'\'(-inf-33.175263]\''
120,1,200,6,14,'\'(33.175263-48.307675]\''
100,0,320,1,3,'\'(33.175263-48.307675]\''
50,0,0,0,0,'\'(48.307675-63.440088]\''
50,0,0,1,0,'\'(48.307675-63.440088]\''
100,1,135,2,6,'\'(48.307675-63.440088]\''
100,2,0,2.7,7.04,'\'(48.307675-63.440088]\''
120,1,210,5,12,'\'(33.175263-48.307675]\''
100,2,140,2.5,8,'\'(33.175263-48.307675]\''
90,0,0,2,6,'\'(48.307675-63.440088]\''
110,0,240,0,2,'\'(33.175263-48.307675]\''
110,0,290,0,3,'\'(33.175263-48.307675]\''
80,0,0,3,0,'\'(63.440088-78.5725]\''
90,0,0,4,0,'\'(63.440088-78.5725]\''
90,0,0,3,0,'\'(63.440088-78.5725]\''
110,1,70,1,15,'\'(-inf-33.175263]\''
110,0,230,1,3,'\'(48.307675-63.440088]\''
90,0,15,3,5,'\'(48.307675-63.440088]\''
110,1,200,0,3,'\'(33.175263-48.307675]\''
140,1,190,4,14,'\'(-inf-33.175263]\''
100,1,200,3,3,'\'(33.175263-48.307675]\''
110,1,250,0,3,'\'(33.175263-48.307675]\''
110,1,140,0,12,'\'(-inf-33.175263]\''
100,1,230,3,3,'\'(48.307675-63.440088]\''
100,1,200,3,3,'\'(48.307675-63.440088]\''
110,1,200,1,8,'\'(33.175263-48.307675]\''
